Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
1352,0,0,8128,0,161,174,1023,1023,581,609,581
1356,0,0,8128,0,161,176,1023,1023,581,611,581
1360,0,0,8128,0,162,178,1023,1023,580,616,580
1364,0,0,8114,0,162,180,1023,1023,579,617,579
1368,0,0,8114,0,163,181,1023,1022,580,620,580
1372,0,0,8059,0,163,183,1023,1023,577,621,577
1376,0,0,8059,0,164,185,1023,1023,576,623,576
1380,0,0,8059,0,164,186,1023,1023,576,622,576
1384,0,0,8017,0,165,188,1023,1023,575,620,575
1388,0,0,8017,0,165,190,1023,1023,574,619,574
1392,0,0,8003,0,166,192,1023,1023,572,616,572
1396,0,0,8003,0,167,194,1023,1023,572,610,572
1400,0,0,8003,0,167,196,1023,1023,570,592,570
1404,0,0,7976,0,168,197,1023,1023,569,583,569
1408,0,0,7976,0,169,199,1023,1023,568,577,568
1412,0,0,8128,0,170,201,1023,1023,566,571,566
1416,0,0,8128,0,170,203,1023,1023,566,572,566
1420,0,0,8128,0,171,205,1023,1023,566,575,566
1424,0,0,8170,0,171,207,1023,1022,564,579,564
1428,0,0,8170,0,172,209,1023,1023,564,583,564
1432,0,0,8183,0,173,211,1023,1022,563,588,563
1436,0,0,8183,0,173,212,1023,1023,563,599,563
1440,0,0,8183,0,173,214,1023,1023,561,601,561
1444,0,0,8170,0,174,216,1023,1022,560,602,560
1448,0,0,8170,0,174,218,1023,1023,559,604,559
1452,0,0,8170,0,175,219,1023,1023,558,607,558
1456,0,0,8170,0,175,221,1023,1023,558,608,558
1460,0,0,8170,0,176,222,1023,1023,556,610,556
1464,0,0,8003,0,177,224,1023,1019,555,610,555
1468,0,0,8003,0,177,225,1023,1023,555,611,555
1472,0,0,8059,0,178,226,1023,1023,553,613,553
1476,0,0,8059,0,179,228,1023,1023,551,623,551
1480,0,0,8059,0,181,228,1023,1023,551,627,551
1484,0,0,8059,0,182,230,1023,1023,549,630,549
1488,0,0,8059,0,183,231,1023,1023,549,622,549
1492,0,0,7934,0,184,232,1023,1023,548,614,548
1496,0,0,7934,0,186,233,1023,1023,548,607,548
1500,0,0,7934,0,187,234,1023,1023,547,595,547
1504,0,0,7990,0,189,235,1023,1022,547,590,547
1508,0,0,7990,0,190,236,1023,1023,548,587,548
1512,0,0,8114,0,192,237,1023,1022,547,579,547
1516,0,0,8114,0,194,238,1023,1023,547,580,547
1520,0,0,8114,0,195,239,1023,1023,547,582,547
1524,0,0,8156,0,197,239,1023,1022,547,589,547
1528,0,0,8156,0,199,240,1023,1023,547,595,547
1532,0,0,8142,0,201,241,1023,1023,546,600,546
1536,0,0,8142,0,203,241,1023,1023,547,611,547
1540,0,0,8142,0,204,242,1023,1023,547,615,547
1544,0,0,8114,0,206,242,1023,1023,547,619,547
1548,0,0,8114,0,208,243,1023,1023,546,623,546
1552,0,0,8059,0,210,243,1023,1023,547,623,547
1556,0,0,8059,0,212,244,1023,1023,548,619,548
1560,0,0,8059,0,214,244,1023,1023,548,614,548
1564,0,0,7990,0,216,245,1023,1023,547,598,547
1568,0,0,7990,0,218,246,1023,1022,549,593,549
1572,0,0,8087,0,221,246,1023,1023,549,590,549
1576,0,0,8087,0,223,247,1023,1023,549,586,549
1580,0,0,8087,0,225,247,1023,1023,550,586,550
1584,0,0,8100,0,227,248,1023,1023,551,588,551
1588,0,0,8100,0,229,248,1023,1023,552,593,552
1592,0,0,8170,0,231,249,1023,1022,553,595,553
1596,0,0,8170,0,234,249,1023,1023,554,598,554
1600,0,0,8170,0,236,250,1023,1023,556,599,556
1604,0,0,8156,0,238,250,1023,1023,557,599,557
1608,0,0,8156,0,240,250,1023,1022,558,599,558
1612,0,0,8142,0,243,251,1023,1023,560,600,560
1616,0,0,8142,0,245,251,1023,1023,561,600,561
1620,0,0,8142,0,247,252,1023,1022,563,601,563
1624,0,0,8003,0,249,252,1023,1023,566,601,566
1628,0,0,8003,0,251,253,1023,1022,568,599,568
1632,0,0,7962,0,253,254,1023,1023,570,597,570
1636,0,0,7962,0,255,255,1023,1023,572,597,572
1640,0,0,7962,0,257,256,1022,1023,576,592,576
1644,0,0,7976,0,258,257,1023,1023,578,589,578
1648,0,0,7976,0,260,258,1023,1023,580,587,580
1652,0,0,8059,0,261,259,1023,1022,585,582,585
1656,0,0,8059,0,263,260,1023,1023,589,576,589
1660,0,0,8059,0,265,261,1023,1023,592,570,592
1664,0,0,8128,0,266,262,1023,1023,596,565,596
1668,0,0,8128,0,267,264,1023,1023,599,564,599
1672,0,0,8183,0,268,265,1023,1023,602,567,602
1676,0,0,8183,0,269,266,1023,1023,608,578,608
1680,0,0,8183,0,270,267,1023,1022,611,581,611
1684,0,0,8156,0,271,268,1023,1023,613,586,613
1688,0,0,8156,0,272,269,1023,1023,617,602,617
1692,0,0,8197,0,273,270,1023,1023,619,614,619
1696,0,0,8197,0,273,272,1023,1023,620,628,620
1700,0,0,8197,0,274,273,1023,1023,621,637,621
1704,0,0,8142,0,275,274,1023,1023,623,646,623
1708,0,0,8142,0,275,275,1023,1023,625,648,625
1712,0,0,7948,0,276,276,1023,1023,625,644,625
1716,0,0,7948,0,277,278,1023,1023,628,637,628
1720,0,0,7948,0,277,279,1023,1023,630,631,630
1724,0,0,7920,0,278,280,1023,1023,631,621,631
1728,0,0,7920,0,279,282,1023,1022,635,615,635
1732,0,0,7976,0,280,283,1023,1023,635,616,635
1736,0,0,7976,0,281,285,1023,1023,636,616,636
1740,0,0,7976,0,281,286,1023,1023,638,621,638
1744,0,0,8045,0,282,288,1023,1023,639,622,639
